PAISES,INB,INVERSION,SALDO,interval,IDH
Perú,35.4240648338548,3929942910.15745,-9085914699.8323,Bajo,0.7777
Polonia,,1.9776e+10,-1.4212e+10,,0.8803
Portugal,,12045808665.4721,340855577.589982,,0.8643
Samoa,61.9225653276615,22849692.3024683,-46461253.3035218,Alto,0.7151
Senegal,34.1431182447287,403098056.387863,-1346796310.17917,Bajo,0.5121
Serbia,70.9225748503297,1999539187.45685,-2634686972.33765,Alto,0.8066
Seychelles,,108355443.10197,-310403746.150988,,0.7966
Singapur,,68698472830.5907,56518685134.7618,,0.9381
Sudáfrica,38.3140005252235,5791659020.09998,-18344938660.4379,Bajo,0.7091
Sudán,44.8310827894398,1251280889.37784,-3545466635.30172,Medio,0.5101
Sudán,44.8310827894398,1251280889.37784,-3545466635.30172,Medio,
Suecia,,-8624292983.55841,24497351413.4753,,0.9457
Suiza,,21003091521.7734,54747283938.9252,,0.9552
Tailandia,37.7951786643234,4975455660.4459,11642907013.7683,Bajo,0.7777
Tayikistán,45.3566990912511,326593810,-316454568.738757,Medio,0.6681
Togo,22.1252993652081,54020342.354686,-458469871.811721,Bajo,0.5151
Tonga,44.2192586555306,13241447.4869655,-27630995.7799054,Medio,0.7251
Túnez,55.4624759100459,1024754443.57724,-4340583445.00567,Medio,0.7409
Turkmenistán,18.5866873573514,3830131000,,Muy bajo,0.7151
Turquía,43.6276258657974,1.3337e+10,-3.8851e+10,Medio,0.8205
Ucrania,96.0900988313991,8.47e+08,-4.596e+09,Muy Alto,0.7797
Uganda,27.1497288011483,1058564540.34685,-2165987726.53222,Bajo,0.5441
Uruguay,,4085227626.74537,-1838382524.26253,,0.8175
Uzbekistán,14.7740739178002,808675996.570486,2075152280.83049,Muy bajo,0.7201
Vanuatu,25.9083238682312,13266163.5152466,60234845.2927745,Bajo,0.6091
Venezuela,33.7377340825956,1.135e+09,4.919e+09,Bajo,0.7111
Zambia,34.5699239889948,1507800000,-387327907.89247,Bajo,0.5841
